group	estim	cpd	letters	logFC
S1500:bglu28bglu30	0.991960758569897	G05	d	0.0799386350104556
S150:wt	0.391350661641062	G05	c	-1.26188253051052
S150:bglu28bglu30	0.504489947485279	G05	c	-0.895518892157153
S15:wt	0.000250624236045036	G05	a	-11.8706027652198
S15:bglu28bglu30	0.259704394072527	G05	b	-1.8534739905725
S0:wt	0.00381188303583637	G05	a	-7.94369675212923
S0:bglu28bglu30	0.235943947785208	G05	b	-1.991900249219
S1500:wt	5.28682326180332	G06	d	0
S1500:bglu28bglu30	5.74168168187123	G06	d	0.119072251612886
S150:wt	2.41649937299707	G06	c	-1.12948247787971
S150:bglu28bglu30	2.66771175529585	G06	c	-0.986798305729983
S15:wt	0.00697446657661789	G06	a	-9.56610250247719
S15:bglu28bglu30	0.689751618130161	G06	b	-2.93825225711202
S0:wt	0.0249763540556808	G06	a	-7.72569439439587
S0:bglu28bglu30	0.514310350278862	G06	b	-3.36169000558867
S1500:wt	0.0824312929297796	G07	d	0
S1500:bglu28bglu30	0.0774552785830243	G07	d	-0.0898285614848
S150:wt	0.0064911315360031	G07	b	-3.66665022733155
S150:bglu28bglu30	0.0497693134923347	G07	c	-0.72793563671114
S15:wt	0.00025062423604504	G07	a	-8.36152237946085
S15:bglu28bglu30	0.00128993902495128	G07	ab	-5.99781734703389
S0:wt	0.00025054986964814	G07	a	-8.36195052621298
S0:bglu28bglu30	0.000247111395119924	G07	a	-8.38188677378128
S1500:wt	3.88098423483439	G08	cd	0
S1500:bglu28bglu30	5.39944160158197	G08	de	0.47638764194885
S150:wt	0.920662907797375	G08	b	-2.07567764400988
S150:bglu28bglu30	5.71226296816085	G08	e	0.557639823724253
S15:wt	0.00025062423604504	G08	a	-13.9186090182928
S15:bglu28bglu30	3.49132932648288	G08	c	-0.152646124334918
S0:wt	0.00787122199287963	G08	a	-8.94561922844602
S0:bglu28bglu30	3.82582533200497	G08	c	-0.0206515637138629
S1500:wt	0.726391653731705	G09	de	0
S1500:bglu28bglu30	0.916629068613705	G09	e	0.335590411824739
S150:wt	0.225703489024562	G09	b	-1.6863189055806
S150:bglu28bglu30	0.648748649028761	G09	cd	-0.163087996934472
S15:wt	0.00025062423604504	G09	a	-11.5010059768254
S15:bglu28bglu30	0.524403511812709	G09	c	-0.470070279104895
S0:wt	0.000250549869648141	G09	a	-11.5014341235775
S0:bglu28bglu30	0.661432325850311	G09	cd	-0.135154070738878
S1500:wt	0.932143896035778	G10	e	0
S1500:bglu28bglu30	1.10830592213694	G10	f	0.249731571314411
S150:wt	0.468404968214027	G10	c	-0.992796304323941
S150:bglu28bglu30	0.598566385760105	G10	d	-0.639041420059366
S15:wt	0.00025062423604504	G10	a	-11.8608110331488
S15:bglu28bglu30	0.198522776467125	G10	b	-2.23124814553024
S0:wt	0.000250549869648141	G10	a	-11.8612391799009
S0:bglu28bglu30	0.213676886292945	G10	b	-2.12512182418924
S1500:wt	4.82833468304406	G11	e	0
S1500:bglu28bglu30	5.76846201165896	G11	e	0.256661036472839
S150:wt	2.31489419958116	G11	c	-1.06057942431493
S150:bglu28bglu30	3.00364342168494	G11	d	-0.684812128966839
S15:wt	0.00025062423604504	G11	a	-14.2337121276756
S15:bglu28bglu30	1.34884840316426	G11	b	-1.8397974689107
S0:wt	0.000488138739821078	G11	a	-13.2719468097191
S0:bglu28bglu30	1.40627047608647	G11	b	-1.7796515791338
S1500:wt	22.0151088871285	G12	d	0
S1500:bglu28bglu30	25.5192341025748	G12	d	0.213091050899465
S150:wt	14.3870940135143	G12	c	-0.613718762074957
S150:bglu28bglu30	15.1250914048402	G12	c	-0.541550118895405
S15:wt	0.0427683549894458	G12	a	-9.00773454703011
S15:bglu28bglu30	3.55051673449608	G12	b	-2.63239306817421
S0:wt	0.0208539334640406	G12	a	-10.0439587344132
S0:bglu28bglu30	2.84449092471856	G12	b	-2.9522515966203
S1500:wt	0.0765788414862401	G13	c	0
S1500:bglu28bglu30	0.123605768963821	G13	d	0.690728338861427
S150:wt	0.0217814504810827	G13	b	-1.81384580480254
S150:bglu28bglu30	0.160888372143789	G13	d	1.07104232236335
S15:wt	0.000537606263013935	G13	a	-7.15425207914406
S15:bglu28bglu30	0.323965784433341	G13	e	2.08082371144559
S0:wt	0.00491292887250388	G13	a	-3.96229057714698
