sulfur,genotype,cpd,batch,value
S15,wt,G07,4,0.000258884
S15,wt,G07,5,0.000244275
S15,bglu28bglu30,G07,1,0.000244681
S15,bglu28bglu30,G07,2,0.00023777
S15,bglu28bglu30,G07,3,0.003608935
S15,bglu28bglu30,G07,4,0.000260343
S15,bglu28bglu30,G07,5,0.005228298
S0,wt,G07,1,0.000232937
S0,wt,G07,2,0.000247756
S0,wt,G07,3,0.000256912
S0,wt,G07,4,0.000258917
S0,wt,G07,5,0.000256702
S0,bglu28bglu30,G07,1,0.000245596
S0,bglu28bglu30,G07,2,0.000236933
S0,bglu28bglu30,G07,3,0.000243653
S0,bglu28bglu30,G07,4,0.000252994
S0,bglu28bglu30,G07,5,0.000256627
S1500,wt,G08,1,3.580834083
S1500,wt,G08,2,3.254308939
S1500,wt,G08,3,3.403701617
S1500,wt,G08,4,5.020101941
S1500,wt,G08,5,4.278099095
S1500,bglu28bglu30,G08,1,5.69970248
S1500,bglu28bglu30,G08,2,6.872188994
S1500,bglu28bglu30,G08,3,3.977451884
S1500,bglu28bglu30,G08,4,5.3872134
S1500,bglu28bglu30,G08,5,5.262739469
S150,wt,G08,1,1.899057908
S150,wt,G08,2,0.298059079
S150,wt,G08,3,0.562108901
S150,wt,G08,4,1.184630974
S150,wt,G08,5,1.072055853
S150,bglu28bglu30,G08,1,8.201406168
S150,bglu28bglu30,G08,2,6.726628474
S150,bglu28bglu30,G08,3,3.510772183
S150,bglu28bglu30,G08,4,5.356772538
S150,bglu28bglu30,G08,5,5.311229835
S15,wt,G08,1,0.000257207
S15,wt,G08,2,0.000239937
S15,wt,G08,3,0.000253091
S15,wt,G08,4,0.000258884
S15,wt,G08,5,0.000244275
S15,bglu28bglu30,G08,1,2.307790717
S15,bglu28bglu30,G08,2,4.611326324
S15,bglu28bglu30,G08,3,2.912805786
S15,bglu28bglu30,G08,4,3.228471447
S15,bglu28bglu30,G08,5,4.719839215
S0,wt,G08,1,0.005176757
S0,wt,G08,2,0.005664998
S0,wt,G08,3,0.002237369
S0,wt,G08,4,0.005128662
S0,wt,G08,5,0.031494948
S0,bglu28bglu30,G08,1,3.108456314
S0,bglu28bglu30,G08,2,3.502481319
S0,bglu28bglu30,G08,3,6.908696155
S0,bglu28bglu30,G08,4,3.743297574
S0,bglu28bglu30,G08,5,2.502993334
S1500,wt,G09,1,0.728258275
S1500,wt,G09,2,0.625912017
S1500,wt,G09,3,0.720299393
S1500,wt,G09,4,0.838692813
S1500,wt,G09,5,0.726582154
S1500,bglu28bglu30,G09,1,0.807999198
S1500,bglu28bglu30,G09,2,1.197743729
S1500,bglu28bglu30,G09,3,0.872507606
S1500,bglu28bglu30,G09,4,0.937729035
S1500,bglu28bglu30,G09,5,0.79439708
S150,wt,G09,1,0.443747712
S150,wt,G09,2,0.113784155
S150,wt,G09,3,0.136824874
S150,wt,G09,4,0.264525914
S150,wt,G09,5,0.237881323
S150,bglu28bglu30,G09,1,0.729427104
S150,bglu28bglu30,G09,2,0.617037218
S150,bglu28bglu30,G09,3,0.551903462
S150,bglu28bglu30,G09,4,0.662577929
S150,bglu28bglu30,G09,5,0.690184714
S15,wt,G09,1,0.000257207
S15,wt,G09,2,0.000239937
S15,wt,G09,3,0.000253091
S15,wt,G09,4,0.000258884
S15,wt,G09,5,0.000244275
S15,bglu28bglu30,G09,1,0.264816903
S15,bglu28bglu30,G09,2,0.630948201
S15,bglu28bglu30,G09,3,0.480940342
S15,bglu28bglu30,G09,4,0.5547504
S15,bglu28bglu30,G09,5,0.763081041
S0,wt,G09,1,0.000232937
S0,wt,G09,2,0.000247756
S0,wt,G09,3,0.000256912
S0,wt,G09,4,0.000258917
S0,wt,G09,5,0.000256702
S0,bglu28bglu30,G09,1,0.512902388
S0,bglu28bglu30,G09,2,0.645980498
S0,bglu28bglu30,G09,3,0.971204613
S0,bglu28bglu30,G09,4,0.820666482
S0,bglu28bglu30,G09,5,0.429181889
S1500,wt,G10,1,0.897178988
S1500,wt,G10,2,0.805525539
S1500,wt,G10,3,0.933585841
S1500,wt,G10,4,1.104531361
S1500,wt,G10,5,0.932160456
S1500,bglu28bglu30,G10,1,0.887178693
S1500,bglu28bglu30,G10,2,1.266153196
S1500,bglu28bglu30,G10,3,1.126311549
S1500,bglu28bglu30,G10,4,1.282911266
S1500,bglu28bglu30,G10,5,1.005475707
S150,wt,G10,1,0.683033846
S150,wt,G10,2,0.340834153
S150,wt,G10,3,0.409895512
S150,wt,G10,4,0.446394095
S150,wt,G10,5,0.49474215
S150,bglu28bglu30,G10,1,0.574492178
S150,bglu28bglu30,G10,2,0.501305882
S150,bglu28bglu30,G10,3,0.658039535
S150,bglu28bglu30,G10,4,0.587306676
S150,bglu28bglu30,G10,5,0.680320913
S15,wt,G10,1,0.000257207
S15,wt,G10,2,0.000239937
S15,wt,G10,3,0.000253091
S15,wt,G10,4,0.000258884
S15,wt,G10,5,0.000244275
S15,bglu28bglu30,G10,1,0.11963751
S15,bglu28bglu30,G10,2,0.23804835
S15,bglu28bglu30,G10,3,0.157027084
S15,bglu28bglu30,G10,4,0.273307921
S15,bglu28bglu30,G10,5,0.22557861
S0,wt,G10,1,0.000232937
S0,wt,G10,2,0.000247756
S0,wt,G10,3,0.000256912
S0,wt,G10,4,0.000258917
S0,wt,G10,5,0.000256702
S0,bglu28bglu30,G10,1,0.166842964
S0,bglu28bglu30,G10,2,0.194450881
S0,bglu28bglu30,G10,3,0.374947706
S0,bglu28bglu30,G10,4,0.188713137
S0,bglu28bglu30,G10,5,0.172298771
S1500,wt,G11,1,4.415610701
S1500,wt,G11,2,4.12128094
S1500,wt,G11,3,5.370879148
S1500,wt,G11,4,5.681958688
S1500,wt,G11,5,4.640168375
S1500,bglu28bglu30,G11,1,4.814644231
S1500,bglu28bglu30,G11,2,6.610795682
S1500,bglu28bglu30,G11,3,5.876214676
S1500,bglu28bglu30,G11,4,6.557835432
S1500,bglu28bglu30,G11,5,5.100900191
S150,wt,G11,1,3.277571769
S150,wt,G11,2,1.636566045
S150,wt,G11,3,1.969329544
S150,wt,G11,4,2.235025043
S150,wt,G11,5,2.622359892
S150,bglu28bglu30,G11,1,2.856255927
S150,bglu28bglu30,G11,2,2.263551303
S150,bglu28bglu30,G11,3,3.281009986
S150,bglu28bglu30,G11,4,3.149133323
S150,bglu28bglu30,G11,5,3.553297442
S15,wt,G11,1,0.000257207
S15,wt,G11,2,0.000239937
S15,wt,G11,3,0.000253091
S15,wt,G11,4,0.000258884
S15,wt,G11,5,0.000244275
S15,bglu28bglu30,G11,1,0.81490445
S15,bglu28bglu30,G11,2,1.499582866
S15,bglu28bglu30,G11,3,1.055799652
S15,bglu28bglu30,G11,4,1.851140261
S15,bglu28bglu30,G11,5,1.66826731
S0,wt,G11,1,0.000232937
S0,wt,G11,2,0.002215184
S0,wt,G11,3,0.000256912
S0,wt,G11,4,0.000258917
S0,wt,G11,5,0.000256702
S0,bglu28bglu30,G11,1,1.13981905
S0,bglu28bglu30,G11,2,1.209396157
S0,bglu28bglu30,G11,3,2.476879898
S0,bglu28bglu30,G11,4,1.157358603
S0,bglu28bglu30,G11,5,1.237319296
S1500,wt,G12,1,21.1838975
S1500,wt,G12,2,18.62901175
S1500,wt,G12,3,23.97449573
S1500,wt,G12,4,23.63324198
S1500,wt,G12,5,22.88302702
S1500,bglu28bglu30,G12,1,21.97436772
S1500,bglu28bglu30,G12,2,27.68529414
S1500,bglu28bglu30,G12,3,26.60565392
S1500,bglu28bglu30,G12,4,29.4779514
S1500,bglu28bglu30,G12,5,22.292483
S150,wt,G12,1,17.66117724
S150,wt,G12,2,11.59915622
S150,wt,G12,3,14.26323041
S150,wt,G12,4,14.41266577
S150,wt,G12,5,14.31726986
S150,bglu28bglu30,G12,1,13.92079143
S150,bglu28bglu30,G12,2,10.64778843
S150,bglu28bglu30,G12,3,17.50257417
