time,genotype,treatment,cpd,batch,value,relative
48h,wt,BSO_4MSB,SFN-GSH,2,1.531963844,92.1506531
48h,wt,BSO_4MSB,SFN-GSH,3,1.155123603,69.48296775
48h,wt,BSO_4MSB,SFN-GSH,4,1.518806135,91.35919087
00h,wt,4MSB,SFN-rEC,1,8.73339E-05,0.624362902
00h,wt,4MSB,SFN-rEC,2,0.000151584,1.08369304
00h,wt,4MSB,SFN-rEC,3,0.000135624,0.96959509
00h,wt,4MSB,SFN-rEC,4,0.000136272,0.974229586
09h,wt,4MSB,SFN-rEC,1,0.002484167,17.75967989
09h,wt,4MSB,SFN-rEC,2,6.08132E-05,0.43476289
09h,wt,4MSB,SFN-rEC,3,0.003186312,22.77941706
09h,wt,4MSB,SFN-rEC,4,0.001318289,9.424644504
24h,wt,4MSB,SFN-rEC,1,0.024612652,175.9595158
24h,wt,4MSB,SFN-rEC,2,0.011892983,85.02470425
24h,wt,4MSB,SFN-rEC,3,0.014525405,103.844285
24h,wt,4MSB,SFN-rEC,4,0.004919676,35.17149496
48h,wt,4MSB,SFN-rEC,1,0.032705709,233.8179821
48h,wt,4MSB,SFN-rEC,2,0.028630964,204.6870195
48h,wt,4MSB,SFN-rEC,3,0.012688842,90.71441698
48h,wt,4MSB,SFN-rEC,4,0.015491322,110.7497685
00h,pad2,4MSB,SFN-rEC,1,0.00011801,0.843672223
00h,pad2,4MSB,SFN-rEC,2,0.000161625,1.155479936
00h,pad2,4MSB,SFN-rEC,3,0.00016234,1.160593801
00h,pad2,4MSB,SFN-rEC,4,0.000138555,0.990552102
09h,pad2,4MSB,SFN-rEC,1,0.000126005,0.900826059
09h,pad2,4MSB,SFN-rEC,2,0.001729524,12.36462797
09h,pad2,4MSB,SFN-rEC,3,0.000133213,0.952361113
09h,pad2,4MSB,SFN-rEC,4,0.001912948,13.67594803
24h,pad2,4MSB,SFN-rEC,1,0.00404729,28.93467734
24h,pad2,4MSB,SFN-rEC,2,0.009630853,68.85240148
24h,pad2,4MSB,SFN-rEC,3,0.002252443,16.10304728
24h,pad2,4MSB,SFN-rEC,4,0.005506492,39.36672867
48h,pad2,4MSB,SFN-rEC,1,0.003660312,26.16811412
48h,pad2,4MSB,SFN-rEC,2,0.008590085,61.41179516
48h,pad2,4MSB,SFN-rEC,3,0.009710727,69.4234306
48h,pad2,4MSB,SFN-rEC,4,0.009413714,67.30004299
00h,wt,BSO_4MSB,SFN-rEC,1,0.000134385,0.960737603
00h,wt,BSO_4MSB,SFN-rEC,2,0.002019064,14.43458662
00h,wt,BSO_4MSB,SFN-rEC,3,0.00014472,1.034627137
00h,wt,BSO_4MSB,SFN-rEC,4,0.000143824,1.028220078
09h,wt,BSO_4MSB,SFN-rEC,1,0.001383197,9.888682034
09h,wt,BSO_4MSB,SFN-rEC,2,0.001340372,9.58252228
09h,wt,BSO_4MSB,SFN-rEC,3,0.000137827,0.985342839
09h,wt,BSO_4MSB,SFN-rEC,4,0.001465872,10.47973818
24h,wt,BSO_4MSB,SFN-rEC,1,0.004598309,32.87399216
24h,wt,BSO_4MSB,SFN-rEC,2,0.005391268,38.54297614
24h,wt,BSO_4MSB,SFN-rEC,3,0.001057964,7.563540829
24h,wt,BSO_4MSB,SFN-rEC,4,0.002198722,15.71899061
48h,wt,BSO_4MSB,SFN-rEC,1,0.011981228,85.65557899
48h,wt,BSO_4MSB,SFN-rEC,2,0.022009635,157.3501553
48h,wt,BSO_4MSB,SFN-rEC,3,0.014007307,100.1403203
48h,wt,BSO_4MSB,SFN-rEC,4,0.009163186,65.50898329
