group	estim	cpd	batch	letters	logFC
S1500:bglu28bglu30	0.653251997832946	G04	2	b	0.0612555491490489
S30:wt	0.191710279890553	G04	2	a	-1.70745638329216
S30:bglu28bglu30	0.229609611633312	G04	2	a	-1.44720104698891
S3:wt	0.180064028172363	G04	2	a	-1.79787408323918
S3:bglu28bglu30	0.198448588396382	G04	2	a	-1.65761878237808
S1500:wt	0.141997852820157	G04	3	b	0
S1500:bglu28bglu30	0.157641027205125	G04	3	b	0.150773940772862
S30:wt	0.147041061542315	G04	3	b	0.050349972516409
S30:bglu28bglu30	0.139732407737955	G04	3	b	-0.0232024549029797
S3:wt	0.0800993671172088	G04	3	a	-0.826006365855733
S3:bglu28bglu30	0.0664270432425449	G04	3	a	-1.09602650994255
S1500:wt	1.00136768709591	G05	1	e	0
S1500:bglu28bglu30	1.22592632013599	G05	1	f	0.291900466380663
S30:wt	0.362494835283127	G05	1	c	-1.46593946198657
S30:bglu28bglu30	0.498621897043698	G05	1	d	-1.00595366182173
S3:wt	0.000774128948508302	G05	1	a	-10.3371102872935
S3:bglu28bglu30	0.0399940343564254	G05	1	b	-4.64604317822155
S1500:wt	1.82323496156097	G05	2	e	0
S1500:bglu28bglu30	2.12911651354846	G05	2	e	0.223754407368412
S30:wt	0.253113591240382	G05	2	c	-2.8486436125779
S30:bglu28bglu30	0.51402059222377	G05	2	d	-1.82660243285264
S3:wt	0.000114652380244204	G05	2	a	-13.9569465676798
S3:bglu28bglu30	0.0462518132016654	G05	2	b	-5.3008467597922
S1500:wt	0.635609334478305	G05	3	c	0
S1500:bglu28bglu30	0.828432793832672	G05	3	c	0.382244352251262
S30:wt	0.864904017732519	G05	3	c	0.444399727231684
S30:bglu28bglu30	0.764658939232834	G05	3	c	0.266676094033688
S3:wt	0.00338912431253763	G05	3	a	-7.5510839462379
S3:bglu28bglu30	0.151219989153431	G05	3	b	-2.07149145594298
S1500:wt	6.407921727807	G06	1	e	0
S1500:bglu28bglu30	7.70240358384431	G06	1	f	0.265452192732597
S30:wt	2.18156684915505	G06	1	c	-1.55449184296237
S30:bglu28bglu30	3.98258564287787	G06	1	d	-0.686151139173248
S3:wt	0.000548819075793551	G06	1	a	-13.5112382775933
S3:bglu28bglu30	0.204791785474789	G06	1	b	-4.9676267726513
S1500:wt	10.078218865179	G06	2	e	0
S1500:bglu28bglu30	11.3434278136009	G06	2	e	0.170615974680165
S30:wt	1.01009067698929	G06	2	c	-3.31868397598915
S30:bglu28bglu30	3.67437961321937	G06	2	d	-1.45566810305269
S3:wt	0.0195113441597221	G06	2	a	-9.01271180658065
S3:bglu28bglu30	0.0743669275276725	G06	2	b	-7.08236380855103
S1500:wt	4.53238496944107	G06	3	c	0
S1500:bglu28bglu30	5.86837496574148	G06	3	c	0.372690651141729
S30:wt	5.73090398739908	G06	3	c	0.338492321019229
S30:bglu28bglu30	4.7623296101375	G06	3	c	0.0713970705360393
S3:wt	0.000592550596550811	G06	3	a	-12.9010444370936
S3:bglu28bglu30	0.855975607465341	G06	3	b	-2.40462881508543
S1500:wt	4.23444177885074	G08	1	d	0
S1500:bglu28bglu30	4.33496108229905	G08	1	d	0.0338472481002889
S30:wt	2.19409756975419	G08	1	c	-0.948544110758884
S30:bglu28bglu30	3.69510915430626	G08	1	d	-0.196554810896924
S3:wt	1.42274454631674e-06	G08	1	a	-21.5050637134154
S3:bglu28bglu30	1.21992328737763	G08	1	b	-1.79538136398669
S1500:wt	2.99272384962085	G08	2	cd	0
S1500:bglu28bglu30	3.64707989479439	G08	2	d	0.285282642592379
S30:wt	1.37285081554822	G08	2	b	-1.12428430209808
S30:bglu28bglu30	9.35697530370414	G08	2	e	1.64458308382475
S3:wt	0.0735256530642517	G08	2	a	-5.34706765824569
S3:bglu28bglu30	1.82936929411687	G08	2	bc	-0.710112821030149
S1500:wt	1.25566887843917	G08	3	b	0
S1500:bglu28bglu30	1.39306376246886	G08	3	b	0.149805219839721
S30:wt	1.9571643780756	G08	3	b	0.640308856170643
S30:bglu28bglu30	1.31929377980731	G08	3	b	0.0713097853417207
S3:wt	0.172121123384896	G08	3	a	-2.86696000717596
S3:bglu28bglu30	3.08576611605666	G08	3	c	1.29717264400401
S1500:wt	0.313571893755692	G09	1	e	0
S1500:bglu28bglu30	0.312038568697284	G09	1	e	-0.00707189223980947
S30:wt	0.118967101792551	G09	1	c	-1.3982335754542
