sulfur,genotype,pot,sample,batch,value
S3,wt,1,3,3,178.51
S3,wt,1,4,3,99.58
S3,wt,1,5,3,190.36
S3,wt,1,6,3,176.79
S3,wt,2,1,3,104.42
S3,wt,2,2,3,174.54
S3,wt,2,4,3,194.74
S3,wt,2,5,3,142.93
S3,wt,2,6,3,165.82
S3,bglu28bglu30,1,1,3,117.95
S3,bglu28bglu30,1,2,3,129.98
S3,bglu28bglu30,1,3,3,151.92
S3,bglu28bglu30,1,4,3,173.91
S3,bglu28bglu30,1,5,3,107.57
S3,bglu28bglu30,1,6,3,147.76
S3,bglu28bglu30,2,1,3,62.32
S3,bglu28bglu30,2,2,3,80.13
S3,bglu28bglu30,2,3,3,113.24
S3,bglu28bglu30,2,4,3,60.75
S3,bglu28bglu30,2,5,3,133.16
S3,bglu28bglu30,2,6,3,127.32
