sulfur,genotype,cpd,isotope,batch,value
S150,wt,4OHB,2,3,0.000263271
S150,wt,4OHB,2,4,0.000294203
4MSB,wt,4OHB,0,1,0.02151264
4MSB,wt,4OHB,0,2,0.003727341
4MSB,wt,4OHB,0,3,0.024003885
4MSB,wt,4OHB,0,4,0.064444034
4MSB,wt,4OHB,2,1,0.000295205
4MSB,wt,4OHB,2,2,0.000286499
4MSB,wt,4OHB,2,3,0.003630873
4MSB,wt,4OHB,2,4,0.001896595
4MSB-34S,wt,4OHB,0,1,0.035381335
4MSB-34S,wt,4OHB,0,2,0.011488297
4MSB-34S,wt,4OHB,0,3,0.005191676
4MSB-34S,wt,4OHB,0,4,0.015452324
4MSB-34S,wt,4OHB,2,1,0.006372352
4MSB-34S,wt,4OHB,2,2,0.000333754
4MSB-34S,wt,4OHB,2,3,0.000266974
4MSB-34S,wt,4OHB,2,4,0.000326401
S1500,wt,4OBzB,0,1,1.970049033
S1500,wt,4OBzB,0,2,1.408561772
S1500,wt,4OBzB,0,3,1.975700656
S1500,wt,4OBzB,0,4,1.664682762
S1500,wt,4OBzB,2,1,0.172182919
S1500,wt,4OBzB,2,2,0.118173553
S1500,wt,4OBzB,2,3,0.146499071
S1500,wt,4OBzB,2,4,0.134111684
S150,wt,4OBzB,0,1,0.538212104
S150,wt,4OBzB,0,2,0.807438189
S150,wt,4OBzB,0,3,0.516412728
S150,wt,4OBzB,0,4,0.632525575
S150,wt,4OBzB,2,1,0.046789838
S150,wt,4OBzB,2,2,0.06138915
S150,wt,4OBzB,2,3,0.041112716
S150,wt,4OBzB,2,4,0.050529013
4MSB,wt,4OBzB,0,1,0.469206018
4MSB,wt,4OBzB,0,2,0.307118423
4MSB,wt,4OBzB,0,3,0.382023053
4MSB,wt,4OBzB,0,4,0.662124066
4MSB,wt,4OBzB,2,1,0.032026582
4MSB,wt,4OBzB,2,2,0.025845383
4MSB,wt,4OBzB,2,3,0.039783331
4MSB,wt,4OBzB,2,4,0.053279878
4MSB-34S,wt,4OBzB,0,1,0.418281132
4MSB-34S,wt,4OBzB,0,2,0.333257226
4MSB-34S,wt,4OBzB,0,3,0.336575923
4MSB-34S,wt,4OBzB,0,4,0.514282145
4MSB-34S,wt,4OBzB,2,1,0.037523542
4MSB-34S,wt,4OBzB,2,2,0.023287118
4MSB-34S,wt,4OBzB,2,3,0.025978858
4MSB-34S,wt,4OBzB,2,4,0.048028534
