sulfur,genotype,cpd,batch,value,relative
S1500,bglu28bglu30,G07,4,0.092987484,111.5577502
S1500,bglu28bglu30,G07,5,0.082013486,98.39216701
S150,wt,G07,1,0.024257246,29.10159159
S150,wt,G07,2,0.00025583,0.306921572
S150,wt,G07,3,0.008057542,9.666691403
S150,wt,G07,4,0.007976159,9.569055206
S150,wt,G07,5,0.002706348,3.24682459
S150,bglu28bglu30,G07,1,0.117643376,141.137601
S150,bglu28bglu30,G07,2,0.053506629,64.19228589
S150,bglu28bglu30,G07,3,0.026907561,32.28119331
S150,bglu28bglu30,G07,4,0.029096471,34.90724456
S150,bglu28bglu30,G07,5,0.042655852,51.17453135
S15,wt,G07,1,0.000257207,0.308573165
S15,wt,G07,2,0.000239937,0.287854117
S15,wt,G07,3,0.000253091,0.303635163
S15,wt,G07,4,0.000258884,0.310585383
S15,wt,G07,5,0.000244275,0.293058024
S15,bglu28bglu30,G07,1,0.000244681,0.293545551
S15,bglu28bglu30,G07,2,0.00023777,0.285254563
S15,bglu28bglu30,G07,3,0.003608935,4.329665404
S15,bglu28bglu30,G07,4,0.000260343,0.312335774
S15,bglu28bglu30,G07,5,0.005228298,6.272426078
S0,wt,G07,1,0.000232937,0.279456205
S0,wt,G07,2,0.000247756,0.297234368
S0,wt,G07,3,0.000256912,0.308219039
S0,wt,G07,4,0.000258917,0.310624304
S0,wt,G07,5,0.000256702,0.307967357
S0,bglu28bglu30,G07,1,0.000245596,0.294643321
S0,bglu28bglu30,G07,2,0.000236933,0.284250517
S0,bglu28bglu30,G07,3,0.000243653,0.292312133
S0,bglu28bglu30,G07,4,0.000252994,0.303518477
S0,bglu28bglu30,G07,5,0.000256627,0.307877101
S1500,wt,G08,1,3.580834083,91.64215877
S1500,wt,G08,2,3.254308939,83.2855948
S1500,wt,G08,3,3.403701617,87.10891282
S1500,wt,G08,4,5.020101941,128.4764858
S1500,wt,G08,5,4.278099095,109.4868479
S1500,bglu28bglu30,G08,1,5.69970248,145.8690985
S1500,bglu28bglu30,G08,2,6.872188994,175.8758491
S1500,bglu28bglu30,G08,3,3.977451884,101.7925625
S1500,bglu28bglu30,G08,4,5.3872134,137.8717512
S1500,bglu28bglu30,G08,5,5.262739469,134.6861638
S150,wt,G08,1,1.899057908,48.60146052
S150,wt,G08,2,0.298059079,7.628048878
S150,wt,G08,3,0.562108901,14.38571907
S150,wt,G08,4,1.184630974,30.31755654
S150,wt,G08,5,1.072055853,27.43648837
S150,bglu28bglu30,G08,1,8.201406168,209.8937144
S150,bglu28bglu30,G08,2,6.726628474,172.1506052
S150,bglu28bglu30,G08,3,3.510772183,89.8491062
