sulfur,genotype,pot,sample,batch,cpd,value
S1500,bglu28bglu30,1,5,1,G03,1.792742459
S1500,bglu28bglu30,1,6,1,G03,1.540736144
S1500,bglu28bglu30,2,1,1,G03,1.535537138
S1500,bglu28bglu30,2,2,1,G03,1.364554694
S1500,bglu28bglu30,2,3,1,G03,1.652108983
S1500,bglu28bglu30,2,4,1,G03,1.360929847
S1500,bglu28bglu30,2,5,1,G03,1.758516708
S1500,bglu28bglu30,2,6,1,G03,1.729123373
S30,wt,1,1,1,G03,0.689370616
S30,wt,1,2,1,G03,0.741525955
S30,wt,1,3,1,G03,0.557533318
S30,wt,1,4,1,G03,0.63387578
S30,wt,1,5,1,G03,0.68529349
S30,wt,1,6,1,G03,0.644053612
S30,wt,2,1,1,G03,0.583795147
S30,wt,2,2,1,G03,0.757792423
S30,wt,2,3,1,G03,0.658268402
S30,wt,2,4,1,G03,0.845096994
S30,wt,2,5,1,G03,0.870545785
S30,wt,2,6,1,G03,0.695019094
S30,bglu28bglu30,1,1,1,G03,0.6708809
S30,bglu28bglu30,1,2,1,G03,1.310583396
S30,bglu28bglu30,1,3,1,G03,0.93002219
S30,bglu28bglu30,1,4,1,G03,0.793806202
S30,bglu28bglu30,1,5,1,G03,0.719817104
S30,bglu28bglu30,1,6,1,G03,1.025801559
S30,bglu28bglu30,2,1,1,G03,0.788256166
S30,bglu28bglu30,2,2,1,G03,0.847367845
S30,bglu28bglu30,2,3,1,G03,0.723013822
S30,bglu28bglu30,2,4,1,G03,0.732920052
S30,bglu28bglu30,2,5,1,G03,0.495494938
S30,bglu28bglu30,2,6,1,G03,0.573987444
S3,wt,1,1,1,G03,0.005282223
S3,wt,1,2,1,G03,0.021178366
S3,wt,1,3,1,G03,0.021718968
S3,wt,1,4,1,G03,0.000384561
S3,wt,1,5,1,G03,0.028974052
S3,wt,1,6,1,G03,0.029258769
S3,wt,2,1,1,G03,0.016272559
S3,wt,2,2,1,G03,0.007821665
S3,wt,2,3,1,G03,0.006001461
S3,wt,2,4,1,G03,0.000428783
S3,wt,2,5,1,G03,0.021458279
S3,wt,2,6,1,G03,0.011282344
S3,bglu28bglu30,1,1,1,G03,0.184945946
S3,bglu28bglu30,1,2,1,G03,0.08698544
S3,bglu28bglu30,1,3,1,G03,0.038718846
S3,bglu28bglu30,1,4,1,G03,0.100225602
S3,bglu28bglu30,1,5,1,G03,0.070580544
S3,bglu28bglu30,1,6,1,G03,0.163888082
S3,bglu28bglu30,2,1,1,G03,0.132040312
S3,bglu28bglu30,2,2,1,G03,0.076870801
S3,bglu28bglu30,2,3,1,G03,0.013428168
S3,bglu28bglu30,2,4,1,G03,0.10864973
S3,bglu28bglu30,2,5,1,G03,0.206621058
S3,bglu28bglu30,2,6,1,G03,0.187085809
S1500,wt,1,1,1,G04,0.273231633
S1500,wt,1,2,1,G04,0.143501559
S1500,wt,1,3,1,G04,0.161233031
S1500,wt,1,4,1,G04,0.16084015
S1500,wt,1,5,1,G04,0.201801653
S1500,wt,1,6,1,G04,0.258690109
S1500,wt,2,1,1,G04,0.156109357
S1500,wt,2,2,1,G04,0.131100032
S1500,wt,2,3,1,G04,0.124972242
S1500,wt,2,4,1,G04,0.169664628
S1500,wt,2,5,1,G04,0.334806311
S1500,wt,2,6,1,G04,0.184113113
S1500,bglu28bglu30,1,1,1,G04,0.397667894
S1500,bglu28bglu30,1,2,1,G04,0.194414258
S1500,bglu28bglu30,1,3,1,G04,0.17594623
S1500,bglu28bglu30,1,4,1,G04,0.222315257
S1500,bglu28bglu30,1,5,1,G04,0.346776669
S1500,bglu28bglu30,1,6,1,G04,0.116565996
S1500,bglu28bglu30,2,1,1,G04,0.234952153
S1500,bglu28bglu30,2,2,1,G04,0.167682255
S1500,bglu28bglu30,2,3,1,G04,0.169369193
S1500,bglu28bglu30,2,4,1,G04,0.252684819
S1500,bglu28bglu30,2,5,1,G04,0.300115799
S1500,bglu28bglu30,2,6,1,G04,0.200533549
S30,wt,1,1,1,G04,0.106134426
S30,wt,1,2,1,G04,0.149196975
S30,wt,1,3,1,G04,0.20646478
S30,wt,1,4,1,G04,0.083861678
S30,wt,1,5,1,G04,0.0641634
S30,wt,1,6,1,G04,0.118816112
S30,wt,2,1,1,G04,0.05631581
S30,wt,2,2,1,G04,0.094838134
S30,wt,2,3,1,G04,0.034086655
S30,wt,2,4,1,G04,0.03973779
S30,wt,2,5,1,G04,0.095581528
S30,wt,2,6,1,G04,0.112168041
S30,bglu28bglu30,1,1,1,G04,0.056227216
S30,bglu28bglu30,1,2,1,G04,0.220085366
S30,bglu28bglu30,1,3,1,G04,0.192355729
S30,bglu28bglu30,1,4,1,G04,0.070558776
S30,bglu28bglu30,1,5,1,G04,0.175647375
S30,bglu28bglu30,1,6,1,G04,0.098004093
S30,bglu28bglu30,2,1,1,G04,0.14264838
S30,bglu28bglu30,2,2,1,G04,0.072715733
S30,bglu28bglu30,2,3,1,G04,0.078865048
S30,bglu28bglu30,2,4,1,G04,0.101556861
S30,bglu28bglu30,2,5,1,G04,0.046058293
S30,bglu28bglu30,2,6,1,G04,0.073607464
S3,wt,1,1,1,G04,0.059666332
S3,wt,1,2,1,G04,0.031746359
S3,wt,1,3,1,G04,0.03262509
S3,wt,1,4,1,G04,0.015428131
S3,wt,1,5,1,G04,0.000431171
S3,wt,1,6,1,G04,0.000395969
S3,wt,2,1,1,G04,0.029789051
S3,wt,2,2,1,G04,0.049549016
S3,wt,2,3,1,G04,0.006069471
S3,wt,2,4,1,G04,0.014487756
S3,wt,2,5,1,G04,0.012456342
S3,wt,2,6,1,G04,0.025465399
S3,bglu28bglu30,1,1,1,G04,0.019090275
S3,bglu28bglu30,1,2,1,G04,0.005345167
S3,bglu28bglu30,1,3,1,G04,0.016506565
S3,bglu28bglu30,1,4,1,G04,0.010601801
S3,bglu28bglu30,1,5,1,G04,0.006389759
S3,bglu28bglu30,1,6,1,G04,0.01213829
S3,bglu28bglu30,2,1,1,G04,0.016327238
S3,bglu28bglu30,2,2,1,G04,0.019875865
S3,bglu28bglu30,2,3,1,G04,0.024256066
S3,bglu28bglu30,2,4,1,G04,0.010931255
S3,bglu28bglu30,2,5,1,G04,0.047107204
S3,bglu28bglu30,2,6,1,G04,0.022535343
S1500,wt,1,1,1,G05,1.245721533
S1500,wt,1,2,1,G05,1.166137154
S1500,wt,1,3,1,G05,0.821636286
S1500,wt,1,4,1,G05,1.237524759
S1500,wt,1,5,1,G05,1.110273416
S1500,wt,1,6,1,G05,0.976547094
S1500,wt,2,1,1,G05,0.968156363
S1500,wt,2,2,1,G05,0.771262884
S1500,wt,2,3,1,G05,0.833183898
S1500,wt,2,4,1,G05,1.214194216
S1500,wt,2,5,1,G05,1.005394244
S1500,wt,2,6,1,G05,0.696611112
S1500,bglu28bglu30,1,1,1,G05,1.524159749
S1500,bglu28bglu30,1,2,1,G05,1.032299428
S1500,bglu28bglu30,1,3,1,G05,0.970311308
S1500,bglu28bglu30,1,4,1,G05,1.523730976
S1500,bglu28bglu30,1,5,1,G05,2.118358798
S1500,bglu28bglu30,1,6,1,G05,0.710379332
S1500,bglu28bglu30,2,1,1,G05,1.212328867
S1500,bglu28bglu30,2,2,1,G05,1.047485735
S1500,bglu28bglu30,2,3,1,G05,0.995568613
S1500,bglu28bglu30,2,4,1,G05,0.926899654
S1500,bglu28bglu30,2,5,1,G05,1.551799235
S1500,bglu28bglu30,2,6,1,G05,1.323061237
S30,wt,1,1,1,G05,0.347294838
S30,wt,1,2,1,G05,0.449152454
S30,wt,1,3,1,G05,0.322866709
S30,wt,1,4,1,G05,0.189321287
S30,wt,1,5,1,G05,0.439604253
S30,wt,1,6,1,G05,0.492924446
S30,wt,2,1,1,G05,0.249828173
S30,wt,2,2,1,G05,0.301566258
S30,wt,2,3,1,G05,0.537017722
S30,wt,2,4,1,G05,0.340076632
S30,wt,2,5,1,G05,0.469569501
S30,wt,2,6,1,G05,0.259608022
S30,bglu28bglu30,1,1,1,G05,0.369712497
S30,bglu28bglu30,1,2,1,G05,0.89234347
S30,bglu28bglu30,1,3,1,G05,0.810806263
S30,bglu28bglu30,1,4,1,G05,0.356688161
S30,bglu28bglu30,1,5,1,G05,0.540678387
S30,bglu28bglu30,1,6,1,G05,0.567459498
S30,bglu28bglu30,2,1,1,G05,0.354986015
S30,bglu28bglu30,2,2,1,G05,0.652449223
S30,bglu28bglu30,2,3,1,G05,0.434458203
S30,bglu28bglu30,2,4,1,G05,0.423215599
S30,bglu28bglu30,2,5,1,G05,0.246718347
S30,bglu28bglu30,2,6,1,G05,0.472559065
S3,wt,1,1,1,G05,0.000395302
S3,wt,1,2,1,G05,0.000396822
S3,wt,1,3,1,G05,0.0004066
S3,wt,1,4,1,G05,0.000384561
S3,wt,1,5,1,G05,0.000431171
S3,wt,1,6,1,G05,0.000395969
S3,wt,2,1,1,G05,0.005326344
S3,wt,2,2,1,G05,0.000388384
S3,wt,2,3,1,G05,0.000443354
S3,wt,2,4,1,G05,0.000428783
S3,wt,2,5,1,G05,0.000458667
S3,wt,2,6,1,G05,0.000421431
S3,bglu28bglu30,1,1,1,G05,0.132783701
S3,bglu28bglu30,1,2,1,G05,0.039432869
S3,bglu28bglu30,1,3,1,G05,0.035747129
S3,bglu28bglu30,1,4,1,G05,0.022013304
S3,bglu28bglu30,1,5,1,G05,0.026249721
S3,bglu28bglu30,1,6,1,G05,0.146200336
S3,bglu28bglu30,2,1,1,G05,0.023094915
S3,bglu28bglu30,2,2,1,G05,0.033236326
S3,bglu28bglu30,2,3,1,G05,0.002877235
S3,bglu28bglu30,2,4,1,G05,0.03970478
S3,bglu28bglu30,2,5,1,G05,0.033615851
S3,bglu28bglu30,2,6,1,G05,0.021687568
S1500,wt,1,1,1,G06,8.151410511
S1500,wt,1,2,1,G06,6.013724145
S1500,wt,1,3,1,G06,5.239840201
S1500,wt,1,4,1,G06,7.118550885
S1500,wt,1,5,1,G06,6.957273706
S1500,wt,1,6,1,G06,8.327323316
S1500,wt,2,1,1,G06,6.576056343
S1500,wt,2,2,1,G06,4.562373988
S1500,wt,2,3,1,G06,6.521498689
S1500,wt,2,4,1,G06,7.488296371
S1500,wt,2,5,1,G06,7.695912343
S1500,wt,2,6,1,G06,5.517866936
S1500,bglu28bglu30,1,1,1,G06,9.786783333
S1500,bglu28bglu30,1,2,1,G06,6.329349382
S1500,bglu28bglu30,1,3,1,G06,7.549390516
S1500,bglu28bglu30,1,4,1,G06,8.723217882
S1500,bglu28bglu30,1,5,1,G06,10.44882457
S1500,bglu28bglu30,1,6,1,G06,5.281096748
S1500,bglu28bglu30,2,1,1,G06,7.903833476
S1500,bglu28bglu30,2,2,1,G06,5.718491317
S1500,bglu28bglu30,2,3,1,G06,7.949330793
S1500,bglu28bglu30,2,4,1,G06,6.68551799
S1500,bglu28bglu30,2,5,1,G06,10.54338492
S1500,bglu28bglu30,2,6,1,G06,9.597960194
S30,wt,1,1,1,G06,2.247291478
S30,wt,1,2,1,G06,2.729604161
S30,wt,1,3,1,G06,2.120713585
S30,wt,1,4,1,G06,1.507863846
S30,wt,1,5,1,G06,2.915305333
S30,wt,1,6,1,G06,2.78395999
S30,wt,2,1,1,G06,1.707145855
S30,wt,2,2,1,G06,2.111150789
S30,wt,2,3,1,G06,2.786246877
S30,wt,2,4,1,G06,2.20409927
S30,wt,2,5,1,G06,3.158746226
S30,wt,2,6,1,G06,1.814412325
S30,bglu28bglu30,1,1,1,G06,3.376792008
S30,bglu28bglu30,1,2,1,G06,8.113441233
S30,bglu28bglu30,1,3,1,G06,7.380502683
S30,bglu28bglu30,1,4,1,G06,2.026231358
S30,bglu28bglu30,1,5,1,G06,4.239303509
S30,bglu28bglu30,1,6,1,G06,5.687928983
S30,bglu28bglu30,2,1,1,G06,3.374365594
S30,bglu28bglu30,2,2,1,G06,3.580457364
S30,bglu28bglu30,2,3,1,G06,3.998699272
S30,bglu28bglu30,2,4,1,G06,4.853884258
S30,bglu28bglu30,2,5,1,G06,2.044748038
S30,bglu28bglu30,2,6,1,G06,3.38790464
S3,wt,1,1,1,G06,0.000395302
S3,wt,1,2,1,G06,0.000396822
S3,wt,1,3,1,G06,0.0004066
S3,wt,1,4,1,G06,0.000384561
S3,wt,1,5,1,G06,0.000431171
S3,wt,1,6,1,G06,0.000395969
S3,wt,2,1,1,G06,0.000406098
S3,wt,2,2,1,G06,0.000388384
S3,wt,2,3,1,G06,0.000443354
S3,wt,2,4,1,G06,0.000428783
S3,wt,2,5,1,G06,0.000458667
S3,wt,2,6,1,G06,0.000421431
S3,bglu28bglu30,1,1,1,G06,0.451613607
S3,bglu28bglu30,1,2,1,G06,0.252645271
S3,bglu28bglu30,1,3,1,G06,0.10182069
S3,bglu28bglu30,1,4,1,G06,0.223047732
S3,bglu28bglu30,1,5,1,G06,0.192688043
S3,bglu28bglu30,1,6,1,G06,0.482630094
S3,bglu28bglu30,2,1,1,G06,0.189458985
S3,bglu28bglu30,2,2,1,G06,0.189153602
S3,bglu28bglu30,2,3,1,G06,0.075131746
S3,bglu28bglu30,2,4,1,G06,0.294135408
S3,bglu28bglu30,2,5,1,G06,0.379747231
S3,bglu28bglu30,2,6,1,G06,0.305613755
S1500,wt,1,1,1,G08,3.086287716
S1500,wt,1,2,1,G08,4.111359684
S1500,wt,1,3,1,G08,4.264253731
S1500,wt,1,4,1,G08,5.488049918
S1500,wt,1,5,1,G08,6.170785983
S1500,wt,1,6,1,G08,4.468284538
S1500,wt,2,1,1,G08,3.506360353
S1500,wt,2,2,1,G08,3.564657357
S1500,wt,2,3,1,G08,6.094490834
S1500,wt,2,4,1,G08,4.287172841
S1500,wt,2,5,1,G08,7.203704365
S1500,wt,2,6,1,G08,3.725301369
S1500,bglu28bglu30,1,1,1,G08,6.244302045
S1500,bglu28bglu30,1,2,1,G08,4.527359655
S1500,bglu28bglu30,1,3,1,G08,4.525825672
S1500,bglu28bglu30,1,4,1,G08,5.662294685
S1500,bglu28bglu30,1,5,1,G08,4.657696262
S1500,bglu28bglu30,1,6,1,G08,2.897714138
S1500,bglu28bglu30,2,1,1,G08,4.22094908
S1500,bglu28bglu30,2,2,1,G08,5.633535152
S1500,bglu28bglu30,2,3,1,G08,3.787268109
S1500,bglu28bglu30,2,4,1,G08,4.653839519
S1500,bglu28bglu30,2,5,1,G08,5.731652741
S1500,bglu28bglu30,2,6,1,G08,4.309048848
S30,wt,1,1,1,G08,1.453298406
S30,wt,1,2,1,G08,3.344690708
S30,wt,1,3,1,G08,2.327520059
S30,wt,1,4,1,G08,2.226810914
S30,wt,1,5,1,G08,3.521631556
S30,wt,1,6,1,G08,3.108032132
S30,wt,2,1,1,G08,2.035861351
S30,wt,2,2,1,G08,2.067449097
S30,wt,2,3,1,G08,2.892038034
S30,wt,2,4,1,G08,1.941220692
S30,wt,2,5,1,G08,3.283874711
S30,wt,2,6,1,G08,1.750489162
S30,bglu28bglu30,1,1,1,G08,3.403281542
S30,bglu28bglu30,1,2,1,G08,7.093945571
S30,bglu28bglu30,1,3,1,G08,5.717006166
S30,bglu28bglu30,1,4,1,G08,2.345363167
S30,bglu28bglu30,1,5,1,G08,3.226862313
S30,bglu28bglu30,1,6,1,G08,6.903146033
S30,bglu28bglu30,2,1,1,G08,2.787228639
S30,bglu28bglu30,2,2,1,G08,2.698669084
S30,bglu28bglu30,2,3,1,G08,4.109831955
S30,bglu28bglu30,2,4,1,G08,6.675928374
S30,bglu28bglu30,2,5,1,G08,2.291936833
S30,bglu28bglu30,2,6,1,G08,3.19022432
S3,wt,1,1,1,G08,0.005019545
S3,wt,1,2,1,G08,0.000396822
S3,wt,1,3,1,G08,0.056290901
S3,wt,1,4,1,G08,0.000384561
S3,wt,1,5,1,G08,0.030482677
S3,wt,1,6,1,G08,0.012633006
S3,wt,2,1,1,G08,0.015475388
S3,wt,2,2,1,G08,0.009871749
S3,wt,2,3,1,G08,0.000443354
S3,wt,2,4,1,G08,0.000428783
S3,wt,2,5,1,G08,0.000458667
S3,wt,2,6,1,G08,0.010683491
S3,bglu28bglu30,1,1,1,G08,2.192831222
S3,bglu28bglu30,1,2,1,G08,1.604638241
S3,bglu28bglu30,1,3,1,G08,0.467654254
S3,bglu28bglu30,1,4,1,G08,1.259171136
S3,bglu28bglu30,1,5,1,G08,0.79585888
S3,bglu28bglu30,1,6,1,G08,2.467120543
S3,bglu28bglu30,2,1,1,G08,1.268235541
S3,bglu28bglu30,2,2,1,G08,1.292024931
S3,bglu28bglu30,2,3,1,G08,0.369496054
S3,bglu28bglu30,2,4,1,G08,1.59032935
S3,bglu28bglu30,2,5,1,G08,3.640359568
S3,bglu28bglu30,2,6,1,G08,1.460510418
S1500,wt,1,1,1,G09,0.207959378
S1500,wt,1,2,1,G09,0.334079106
S1500,wt,1,3,1,G09,0.25010746
S1500,wt,1,4,1,G09,0.413456649
S1500,wt,1,5,1,G09,0.462734058
S1500,wt,1,6,1,G09,0.321242083
S1500,wt,2,1,1,G09,0.26830593
S1500,wt,2,2,1,G09,0.230342583
S1500,wt,2,3,1,G09,0.425544074
S1500,wt,2,4,1,G09,0.390586378
S1500,wt,2,5,1,G09,0.550551872
S1500,wt,2,6,1,G09,0.488798593
S1500,bglu28bglu30,1,1,1,G09,0.399139806
S1500,bglu28bglu30,1,2,1,G09,0.448278211
S1500,bglu28bglu30,1,3,1,G09,0.341154262
S1500,bglu28bglu30,1,4,1,G09,0.377691558
S1500,bglu28bglu30,1,5,1,G09,0.335871326
S1500,bglu28bglu30,1,6,1,G09,0.268341403
S1500,bglu28bglu30,2,1,1,G09,0.334047684
S1500,bglu28bglu30,2,2,1,G09,0.413510392
S1500,bglu28bglu30,2,3,1,G09,0.292548328
S1500,bglu28bglu30,2,4,1,G09,0.369400233
S1500,bglu28bglu30,2,5,1,G09,0.411251092
S1500,bglu28bglu30,2,6,1,G09,0.265831194
S30,wt,1,1,1,G09,0.107966735
S30,wt,1,2,1,G09,0.185456116
S30,wt,1,3,1,G09,0.110474934
S30,wt,1,4,1,G09,0.13918953
S30,wt,1,5,1,G09,0.205685978
S30,wt,1,6,1,G09,0.207103665
S30,wt,2,1,1,G09,0.102303147
S30,wt,2,2,1,G09,0.116653669
S30,wt,2,3,1,G09,0.133635626
S30,wt,2,4,1,G09,0.153060171
S30,wt,2,5,1,G09,0.179524857
S30,wt,2,6,1,G09,0.118769214
S30,bglu28bglu30,1,1,1,G09,0.149374052
S30,bglu28bglu30,1,2,1,G09,0.365027369
S30,bglu28bglu30,1,3,1,G09,0.276156704
S30,bglu28bglu30,1,4,1,G09,0.255362688
S30,bglu28bglu30,1,5,1,G09,0.206435869
S30,bglu28bglu30,1,6,1,G09,0.275566138
S30,bglu28bglu30,2,1,1,G09,0.182195558
S30,bglu28bglu30,2,2,1,G09,0.142160243
S30,bglu28bglu30,2,3,1,G09,0.250729219
S30,bglu28bglu30,2,4,1,G09,0.216341663
S30,bglu28bglu30,2,5,1,G09,0.129053807
