group	estim	cpd	letters	logFC
S1500:bglu2830	4.52892226934277	G06	d	-0.0671806795266953
S1500:tgg12	4.51572942779145	G06	d	-0.0713894122047782
S1500:tgg45	5.22871821198344	G06	d	0.140108864116052
S1500:pen2	5.39208823590759	G06	d	0.184495647005825
S1500:pyk10	4.09251964326811	G06	d	-0.213359116547745
S1500:bglu18	7.65635754304225	G06	e	0.690309745678196
S15:Col	0.0569142826946091	G06	ab	-6.38141390399216
S15:bglu2830	0.744948695483314	G06	c	-2.67113548201393
S15:tgg12	0.0743689446107528	G06	ab	-5.99550434905707
S15:tgg45	1.95292411748691e-06	G06	a	-21.2122811340513
S15:pen2	0.0118144182401836	G06	ab	-8.64965605710773
S15:pyk10	0.128727598589603	G06	b	-5.20395515906786
S15:bglu18	0.0956977397400591	G06	b	-5.63171979720745
S1500:Col	0.0688949844045114	G07	d	0
S1500:bglu2830	0.072092805950351	G07	d	0.0654563442379102
S1500:tgg12	0.0768569570542376	G07	d	0.157776900175062
S1500:tgg45	0.0591386921932723	G07	cd	-0.220296617983877
S1500:pen2	0.0620295382040932	G07	d	-0.151443573292006
S1500:pyk10	0.0323254513871455	G07	bc	-1.09172844197665
S1500:bglu18	0.031263732233705	G07	b	-1.13990894156458
S15:Col	0.000470957917863569	G07	a	-7.19265699295133
S15:bglu2830	0.0172381958063953	G07	b	-1.99879017152259
S15:tgg12	0.000172296625139369	G07	a	-8.6433607044311
S15:tgg45	0.000388264246781337	G07	a	-7.47121628433647
S15:pen2	0.000407438671103018	G07	a	-7.40167223059826
S15:pyk10	0.000398944181506892	G07	a	-7.43206824237469
S15:bglu18	0.000393870361913997	G07	a	-7.45053428683027
S1500:Col	4.21112871273664	G08	bc	0
S1500:bglu2830	6.55292534552456	G08	d	0.637932123844692
S1500:tgg12	2.8824646651805	G08	b	-0.54690404936851
S1500:tgg45	4.87783563026331	G08	bcd	0.212034172057557
S1500:pen2	4.43044641262668	G08	bc	0.0732451003186715
S1500:pyk10	4.39317805884105	G08	bc	0.0610580021271462
S1500:bglu18	4.58528522633226	G08	bcd	0.122804507023018
S15:Col	0.119105593311822	G08	a	-5.1438939017782
S15:bglu2830	5.03758179861593	G08	cd	0.258524387830438
S15:tgg12	0.00308200368852331	G08	a	-10.4161226682132
S15:tgg45	0.00772547670722229	G08	a	-9.09036729816654
S15:pen2	0.0270949083345131	G08	a	-7.28004139547506
S15:pyk10	0.318432088450023	G08	a	-3.72514934309496
S15:bglu18	0.265379724560108	G08	a	-3.98807691621531
S1500:Col	0.880985091167474	G09	cd	0
