time,genotype,treatment,cpd,batch,value
09h,pad2,4MSB,RA,1,0.381750999
09h,pad2,4MSB,RA,2,0.287754443
09h,pad2,4MSB,RA,3,0.941947212
09h,pad2,4MSB,RA,4,0.83663327
24h,pad2,4MSB,RA,1,1.681266177
24h,pad2,4MSB,RA,2,1.829029733
24h,pad2,4MSB,RA,3,2.496864466
24h,pad2,4MSB,RA,4,2.221527229
48h,pad2,4MSB,RA,1,1.526205321
48h,pad2,4MSB,RA,2,1.607815904
48h,pad2,4MSB,RA,3,3.056026148
48h,pad2,4MSB,RA,4,3.187355646
00h,wt,BSO_4MSB,RA,1,0.046726185
00h,wt,BSO_4MSB,RA,2,0.08000399
00h,wt,BSO_4MSB,RA,3,0.007854165
00h,wt,BSO_4MSB,RA,4,0.027854584
09h,wt,BSO_4MSB,RA,1,0.357557542
09h,wt,BSO_4MSB,RA,2,0.501758173
09h,wt,BSO_4MSB,RA,3,0.579215734
09h,wt,BSO_4MSB,RA,4,0.695771461
24h,wt,BSO_4MSB,RA,1,2.09834691
24h,wt,BSO_4MSB,RA,2,2.686134617
24h,wt,BSO_4MSB,RA,3,2.067840599
24h,wt,BSO_4MSB,RA,4,1.92920711
48h,wt,BSO_4MSB,RA,1,4.396760016
48h,wt,BSO_4MSB,RA,2,3.860762873
48h,wt,BSO_4MSB,RA,3,2.683973785
48h,wt,BSO_4MSB,RA,4,3.009613473
00h,wt,4MSB,SFN-Cys,1,0.000842466
00h,wt,4MSB,SFN-Cys,2,0.007726742
00h,wt,4MSB,SFN-Cys,3,0.004886731
00h,wt,4MSB,SFN-Cys,4,0.002883218
09h,wt,4MSB,SFN-Cys,1,0.065697742
09h,wt,4MSB,SFN-Cys,2,0.030593589
09h,wt,4MSB,SFN-Cys,3,0.117250384
09h,wt,4MSB,SFN-Cys,4,0.057633733
24h,wt,4MSB,SFN-Cys,1,0.188880133
24h,wt,4MSB,SFN-Cys,2,0.191271955
24h,wt,4MSB,SFN-Cys,3,0.231541095
24h,wt,4MSB,SFN-Cys,4,0.153891744
48h,wt,4MSB,SFN-Cys,1,0.34312941
48h,wt,4MSB,SFN-Cys,2,0.290871959
48h,wt,4MSB,SFN-Cys,3,0.249967257
48h,wt,4MSB,SFN-Cys,4,0.191343251
00h,pad2,4MSB,SFN-Cys,1,0.005760696
00h,pad2,4MSB,SFN-Cys,2,0.000776042
00h,pad2,4MSB,SFN-Cys,3,0.004724098
00h,pad2,4MSB,SFN-Cys,4,0.004361234
09h,pad2,4MSB,SFN-Cys,1,0.019814012
09h,pad2,4MSB,SFN-Cys,2,0.013365903
